ID,Link,Thumbnail,Tiêu đề,Số lượt view,Số lượt like,Số lượt comment,Tỷ lệ tương tác,ID người đăng,Người đăng,Source,Đối tác,Mã sự kiện,Sự kiện,Ngày phát hành,Ngày gửi bài,Trạng thái,Lý do hủy,Tích cực (%),Trung lập (%),Tiêu cực (%),Tags,,,,,,
69d09ae24955fc1be93d4514,https://vt.tiktok.com/ZSHBf7PHu/,https://p16-sign-sg.tiktokcdn.com/tos-alisg-p-0037/o4dLAQ6IvSXIHImidr8SqYBLAEiBKGDnZaCaZ~tplv-tiktokx-cropcenter-q:300:400:q72.webp?dr=14782&refresh_token=4bad4cb3&x-expires=1775365200&x-signature=pfootMeJMhX%2B2ezzmFqXa1dL5Ew%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=my2&biz_tag=tt_video&s=TIKTOK_FOR_DEVELOPER&sc=cover,#Chontuonglaixanh #T4NXBNNMT #Thu4NgayXanh #Hanhdongxanh #lnmlax9,20,0,0,0.00%,69cfa3f94955fc1be93d14cb,Nguyễn Thị Hồng,tiktok,Gen Green,69cf3138d3891e71e6894737,Thử thách 21 Ngày: Hành động Xanh - Chọn Tương lai Xanh,04-04-2026 04:52,04-04-2026,rejected,Link lỗi không truy cập được.,Triều Huỳnh,---,--,--,,,,,,#N/A
69d0b53d4955fc1be93d4c71,https://youtube.com/shorts/Ywn9iW49d2o?si=9gKF0FoeSsppatz4,https://i.ytimg.com/vi/Ywn9iW49d2o/maxresdefault.jpg,#Chontuonglaixanh #T4NXBNNMT  #Thu4NgayXanh #Hanhdongxanh #eralegw ngày đầu tiên sống xanh,310,0,0,0.00%,69d069564955fc1be93d29c3,Nam Do,youtube_shorts,Gen Green,69cf3138d3891e71e6894737,Thử thách 21 Ngày: Hành động Xanh - Chọn Tương lai Xanh,04-04-2026 13:29,04-04-2026,rejected,"Video hiện không hiển thị nên bên mình chưa thể đánh giá.
",Triều Huỳnh,---,--,--,,,,,,
69d08f7d4955fc1be93d3c4a,https://vt.tiktok.com/ZSHBAMRJd/,https://p16-sign-sg.tiktokcdn.com/tos-alisg-p-0037/oMd6BfxuCixuIwj37E0wiASQIUIEAiQi3AMXMV~tplv-tiktokx-origin.image?dr=14575&x-expires=1775448000&x-signature=Cadt9W6PCs1HY5AKmhFUeg%2BNXcI%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=sg1,#Thu4NgayXanh #Hanhdongxanh #Chontuonglaixanh #T4NX#1eez1mh,1,0,0,0.00%,69cf975c4955fc1be93d12ca,thảo,tiktok,Gen Green,69cf3138d3891e71e6894737,Thử thách 21 Ngày: Hành động Xanh - Chọn Tương lai Xanh,04-04-2026 11:09,04-04-2026,rejected,Video hiện không hiển thị nên bên mình chưa thể đánh giá.,Triều Huỳnh,---,--,--,,,,,,
69d0cea84955fc1be93d5511,https://www.facebook.com/share/v/1Cd3woozZm/,https://scontent-sin2-3.xx.fbcdn.net/v/t15.5256-10/663053559_864880493233896_6345610173724203116_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=107&ccb=1-7&_nc_sid=50ce42&_nc_ohc=8ADcBS4Ky8wQ7kNvwFxoB9X&_nc_oc=AdqUmzYwA7Gut7zvvsVmTdzWX9cuAKILe2nDXj63gDLhNeVWs33fnwoJgeJz24Py9kc&_nc_zt=23&_nc_ht=scontent-sin2-3.xx&_nc_gid=tYL8D-HQMN5vYePwP0hegw&_nc_ss=7a389&oh=00_Af1d0YyrN_I-DdbgohF6etJCUjc6J6ayK75DTC-CZrTpGg&oe=69DCF04D,#Chontuonglaixanh #T4NXBNNMT #Thu4NgayXanh #Hanhdongxanh #cvu84mv,40,0,0,0.00%,69cf699d4955fc1be93d05e1,sunday,facebook_reels,Gen Green,69cf3138d3891e71e6894737,Thử thách 21 Ngày: Hành động Xanh - Chọn Tương lai Xanh,04-04-2026 15:29,04-04-2026,rejected,Cần cải thiện phần lồng tiếng hoặc bổ sung chữ minh họa trên video để nội dung truyền tải được rõ ràng và hiệu quả hơn.,Triều Huỳnh,---,--,--,,,,,,
69d089a14955fc1be93d37fc,https://vt.tiktok.com/ZSHBkxK4n/,https://p16-common-sign.tiktokcdn.com/tos-alisg-p-0037/o0rheqIiQEQxezzDQETIhDkCoQ9hoHrfAAAFWj~tplv-tiktokx-cropcenter-q:300:400:q72.webp?dr=14782&refresh_token=edd7f3b9&x-expires=1775358000&x-signature=euS3vgEjO46xoSSOvJQfnDRrAVI%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=my2&biz_tag=tt_video&s=TIKTOK_FOR_DEVELOPER&sc=cover,#Thu4NgayXanh #Hanhdongxanh #Chontuonglaixanh #T4NX,1,0,0,0.00%,69cf46c34955fc1be93cfd51,🔥,tiktok,Gen Green,69cf3138d3891e71e6894737,Thử thách 21 Ngày: Hành động Xanh - Chọn Tương lai Xanh,04-04-2026 03:44,04-04-2026,rejected,Video hiện không hiển thị nên bên mình chưa thể đánh giá.,Triều Huỳnh,---,--,--,,,,,,
69d11df24955fc1be93d7337,https://www.facebook.com/share/r/1DgnzdiDC9/?mibextid=wwXIfr,https://scontent-bos5-1.xx.fbcdn.net/v/t15.5256-10/662530358_1653515576103377_703738490479931829_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=103&ccb=1-7&_nc_sid=50ce42&_nc_ohc=vq8uVjIRyA4Q7kNvwE7UrKK&_nc_oc=AdrvRLEq66yEtG3iXoh_z2zsySB4MF6KIfs5Bfztmv7KwVt98-6EM58idOgwnOjKqWY&_nc_zt=23&_nc_ht=scontent-bos5-1.xx&_nc_gid=WjGMqKzzMTfDD2LnRcuHEQ&_nc_ss=7a389&oh=00_Af1ME1LNtg9cTf3y2Aw5I01O8_sLuz3nBsdFz2CdNewXPg&oe=69D702B6,#Thu4NgayXanh #Hanhdongxanh #Chontuonglaixanh #T4NX #6unsmmg,7,0,0,0.00%,69d094764955fc1be93d3df6,Kim Tho,facebook_reels,Gen Green,69cf3138d3891e71e6894737,Thử thách 21 Ngày: Hành động Xanh - Chọn Tương lai Xanh,04-04-2026 21:17,04-04-2026,rejected,Link lỗi không truy cập được.,Triều Huỳnh,---,--,--,,,,,,
69d11cc84955fc1be93d7288,https://vt.tiktok.com/ZSHS5nSfR/,https://p9-sign-sg.tiktokcdn.com/tos-alisg-p-0037/okUfRFtgA28R5DrwIyGBEej8HPEE0pMcgABREM~tplv-tiktokx-cropcenter-q:300:400:q72.webp?dr=14782&refresh_token=a0f295ec&x-expires=1775397600&x-signature=VlZFJmhRtoYJOm9MUvMGqhYwcDM%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=my2&biz_tag=tt_video&s=TIKTOK_FOR_DEVELOPER&sc=cover,#Thu4NgayXanh #Hanhdongxanh #Chontuonglaixanh#T4NXHUNRE#NDHT ngay1,24,0,0,0.00%,69d11c594955fc1be93d724c,anhlee4049,tiktok,Gen Green,69cf3138d3891e71e6894737,Thử thách 21 Ngày: Hành động Xanh - Chọn Tương lai Xanh,04-04-2026 14:08,04-04-2026,rejected,Link lỗi không truy cập được.,Triều Huỳnh,---,--,--,,,,,,
69d07ed24955fc1be93d3270,https://vt.tiktok.com/ZSHBjDm7m/,https://p16-common-sign.tiktokcdn.com/tos-alisg-p-0037/oEKgAgogzuUfDmTYZLPjI6I3gGgjetAQjSCweo~tplv-tiktokx-origin.image?dr=14575&x-expires=1775444400&x-signature=JoXZ904eCugywSxYJN9VoEeBrAw%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=sg1,#Thu4NgayXanh #Hanhdongxanh #Chontuonglaixanh #T4NX#gfe8n1h,2,0,0,0.00%,69d07c6b4955fc1be93d30a8,Hquyen,tiktok,Gen Green,69cf3138d3891e71e6894737,Thử thách 21 Ngày: Hành động Xanh - Chọn Tương lai Xanh,04-04-2026 09:58,04-04-2026,rejected,Video hiện không hiển thị nên bên mình chưa thể đánh giá.,Triều Huỳnh,---,--,--,,,,,,
69d07cc54955fc1be93d30e3,https://vt.tiktok.com/ZSHB29dRp/,https://p16-common-sign.tiktokcdn.com/tos-alisg-p-0037/o0Cg01eLAhUEHscpRdMBByvOLEQ1QGFgyuw0fD~tplv-tiktokx-cropcenter-q:300:400:q72.webp?dr=14782&refresh_token=99571c09&x-expires=1775354400&x-signature=304J1hlQCPLlIAvhsuVWJlwndeE%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=my2&biz_tag=tt_video&s=TIKTOK_FOR_DEVELOPER&sc=cover,#Thu4NgayXanh #Hanhdongxanh #Chontuonglaixanh #T4NX,22,0,0,0.00%,69d075e24955fc1be93d2e55,Mong Muốn,tiktok,Gen Green,69cf3138d3891e71e6894737,Thử thách 21 Ngày: Hành động Xanh - Chọn Tương lai Xanh,04-04-2026 02:34,04-04-2026,rejected,Video hiện không hiển thị nên bên mình chưa thể đánh giá.,Triều Huỳnh,---,--,--,,,,,,
69d0d5f94955fc1be93d57d4,https://vt.tiktok.com/ZSHB3yar2/,https://p19-common-sign.tiktokcdn.com/tos-alisg-p-0037/o43IBiwYI90Eh8CbIAQituiXy6ym1AfGwDAaq4~tplv-tiktokx-origin.image?dr=14575&x-expires=1775530800&x-signature=ZxExpNm7FY%2Bx1f3PcGvp7%2Fr6SbI%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=sg1,#Thu4NgayXanh #Hanhdongxanh #Chontuonglaixanh #T4NX#1eez1mh,489,0,0,0.00%,69cf975c4955fc1be93d12ca,thảo,tiktok,Gen Green,69cf3138d3891e71e6894737,Thử thách 21 Ngày: Hành động Xanh - Chọn Tương lai Xanh,04-04-2026 16:11,04-04-2026,rejected,Link lỗi không truy cập được.,Triều Huỳnh,---,--,--,,,,,,
